REGION	MEASURE	INDEX	TSEST	FREQUENCY	TIME_FORMAT	obsTime	obsValue	city	obsValuerel	up
5	1	30014	10	Q	P3M	1986-04-01T00:00:00Z	36	Perth	1.02880047505938	TRUE
5	1	30014	10	Q	P3M	1986-07-01T00:00:00Z	37	Perth	1.03045428240741	TRUE
5	1	30014	10	Q	P3M	1986-10-01T00:00:00Z	38.9	Perth	1.0540892454955	TRUE
5	1	30014	10	Q	P3M	1987-01-01T00:00:00Z	40.1	Perth	1.06501793598234	TRUE
5	1	30014	10	Q	P3M	1987-04-01T00:00:00Z	41.6	Perth	1.08804347826087	TRUE
5	1	30014	10	Q	P3M	1987-07-01T00:00:00Z	42.2	Perth	1.08486912393162	TRUE
5	1	30014	10	Q	P3M	1987-10-01T00:00:00Z	43.1	Perth	1.08938419117647	TRUE
5	1	30014	10	Q	P3M	1988-01-01T00:00:00Z	43.8	Perth	1.08877840909091	TRUE
5	1	30014	10	Q	P3M	1988-04-01T00:00:00Z	44.7	Perth	1.09086587221095	TRUE
5	1	30014	10	Q	P3M	1988-07-01T00:00:00Z	45.3	Perth	1.08568849601594	TRUE
5	1	30014	10	Q	P3M	1988-10-01T00:00:00Z	46.3	Perth	1.08798217773437	TRUE
5	1	30014	10	Q	P3M	1989-01-01T00:00:00Z	47.3	Perth	1.10073138297872	TRUE
5	1	30014	10	Q	P3M	1989-04-01T00:00:00Z	48.9	Perth	1.11005306603774	TRUE
5	1	30014	10	Q	P3M	1989-07-01T00:00:00Z	50.1	Perth	1.11211369926199	TRUE
5	1	30014	10	Q	P3M	1989-10-01T00:00:00Z	50.5	Perth	1.10068500905797	TRUE
5	1	30014	10	Q	P3M	1990-01-01T00:00:00Z	51.2	Perth	1.09608540925267	TRUE
5	1	30014	10	Q	P3M	1990-04-01T00:00:00Z	51.8	Perth	1.09145140105079	TRUE
5	1	30014	10	Q	P3M	1990-07-01T00:00:00Z	51.8	Perth	1.08385869565217	TRUE
5	1	30014	10	Q	P3M	1990-10-01T00:00:00Z	51.8	Perth	1.05630296610169	TRUE
5	1	30014	10	Q	P3M	1991-01-01T00:00:00Z	51.5	Perth	1.05196837860781	TRUE
5	1	30014	10	Q	P3M	1991-04-01T00:00:00Z	51.4	Perth	1.04814618644068	TRUE
5	1	30014	10	Q	P3M	1991-07-01T00:00:00Z	51.5	Perth	1.04487247048904	TRUE
5	1	30014	10	Q	P3M	1991-10-01T00:00:00Z	50.7	Perth	1.01833785475793	TRUE
50	1	30014	10	Q	P3M	1982-01-01T00:00:00Z	24.4	"All
Australian
capitals"	1	FALSE
50	1	30014	10	Q	P3M	1982-04-01T00:00:00Z	25.2	"All
Australian
capitals"	1.00983606557377	FALSE
50	1	30014	10	Q	P3M	1982-07-01T00:00:00Z	26.2	"All
Australian
capitals"	1.01448255053807	FALSE
50	1	30014	10	Q	P3M	1982-10-01T00:00:00Z	26.8	"All
Australian
capitals"	1.0068306010929	FALSE
50	1	30014	10	Q	P3M	1983-01-01T00:00:00Z	27.2	"All
Australian
capitals"	1.00100368016059	FALSE
50	1	30014	10	Q	P3M	1983-04-01T00:00:00Z	27.7	"All
Australian
capitals"	0.999016393442623	FALSE
50	1	30014	10	Q	P3M	1983-07-01T00:00:00Z	28.2	"All
Australian
capitals"	0.999907902007736	FALSE
50	1	30014	10	Q	P3M	1983-10-01T00:00:00Z	28.6	"All
Australian
capitals"	0.989086009431844	FALSE
50	1	30014	10	Q	P3M	1984-01-01T00:00:00Z	29.1	"All
Australian
capitals"	1.01192250372578	FALSE
50	1	30014	10	Q	P3M	1984-04-01T00:00:00Z	29.7	"All
Australian
capitals"	1.02994955863808	FALSE
50	1	30014	10	Q	P3M	1984-07-01T00:00:00Z	30.3	"All
Australian
capitals"	1.036518725843	FALSE
50	1	30014	10	Q	P3M	1984-10-01T00:00:00Z	30.8	"All
Australian
capitals"	1.03953712632594	FALSE
50	1	30014	10	Q	P3M	1985-01-01T00:00:00Z	31.4	"All
Australian
capitals"	1.04580647951901	FALSE
50	1	30014	10	Q	P3M	1985-04-01T00:00:00Z	32	"All
Australian
capitals"	1.04106810883894	FALSE
50	1	30014	10	Q	P3M	1985-07-01T00:00:00Z	33	"All
Australian
capitals"	1.04926291448156	FALSE
50	1	30014	10	Q	P3M	1985-10-01T00:00:00Z	33.7	"All
Australian
capitals"	1.05035417931593	FALSE
50	1	30014	10	Q	P3M	1986-01-01T00:00:00Z	34.5	"All
Australian
capitals"	1.05191256830601	FALSE
50	1	30014	10	Q	P3M	1986-04-01T00:00:00Z	35.4	"All
Australian
capitals"	1.06140726607219	FALSE
50	1	30014	10	Q	P3M	1986-07-01T00:00:00Z	36.4	"All
Australian
capitals"	1.06360048573163	FALSE
50	1	30014	10	Q	P3M	1986-10-01T00:00:00Z	37.2	"All
Australian
capitals"	1.05759858218875	FALSE
50	1	30014	10	Q	P3M	1987-01-01T00:00:00Z	38	"All
Australian
capitals"	1.05887887670539	FALSE
50	1	30014	10	Q	P3M	1987-04-01T00:00:00Z	38.9	"All
Australian
capitals"	1.06746258018532	FALSE
50	1	30014	10	Q	P3M	1987-07-01T00:00:00Z	40.2	"All
Australian
capitals"	1.08427910886927	FALSE
50	1	30014	10	Q	P3M	1987-10-01T00:00:00Z	41.2	"All
Australian
capitals"	1.09257473481196	FALSE
