"","Var1","Freq"
"676"," 1350000",0
"677"," 1352000",0
"678"," 1354000",0
"679"," 1356000",0
"680"," 1358000",0
"681"," 1360000",0
"682"," 1362000",0
"683","[ 1364000, 1366000)",3
"684","[ 1366000, 1368000)",3
"685"," 1368000",0
"686"," 1370000",0
"687"," 1372000",0
"688","[ 1374000, 1376000)",1
"689"," 1376000",0
"690","[ 1378000, 1380000)",1
"691"," 1380000",0
"692","[ 1382000, 1384000)",1
"693"," 1384000",0
"694","[ 1386000, 1388000)",1
"695"," 1388000",0
"696"," 1390000",0
"697"," 1392000",0
"698","[ 1394000, 1396000)",1
"699"," 1396000",0
"700"," 1398000",0
"701","[ 1400000, 1402000)",1
"702"," 1402000",0
"703"," 1404000",0
"704","[ 1406000, 1408000)",1
"705","[ 1408000, 1410000)",1
"706","[ 1410000, 1412000)",1
"707"," 1412000",0
"708"," 1414000",0
"709","[ 1416000, 1418000)",1
"710","[ 1418000, 1420000)",1
"711","[ 1420000, 1422000)",1
"712"," 1422000",0
"713"," 1424000",0
"714"," 1426000",0
"715"," 1428000",0
"716"," 1430000",0
"717"," 1432000",0
"718"," 1434000",0
"719"," 1436000",0
"720"," 1438000",0
"721"," 1440000",0
"722"," 1442000",0
"723"," 1444000",0
"724"," 1446000",0
"725"," 1448000",0
"726"," 1450000",0
"727"," 1452000",0
"728","[ 1454000, 1456000)",1
"729"," 1456000",0
"730","[ 1458000, 1460000)",2
"731"," 1460000",0
"732","[ 1462000, 1464000)",1
"733"," 1464000",0
"734","[ 1466000, 1468000)",1
"735"," 1468000",0
"736"," 1470000",0
"737"," 1472000",0
"738","[ 1474000, 1476000)",1
"739","[ 1476000, 1478000)",1
"740","[ 1478000, 1480000)",1
"741"," 1480000",0
"742"," 1482000",0
"743","[ 1484000, 1486000)",1
"744"," 1486000",0
"745"," 1488000",0
"746","[ 1490000, 1492000)",1
"747"," 1492000",0
"748"," 1494000",0
"749"," 1496000",0
"750"," 1498000",0
"751"," 1500000",0
"752"," 1502000",0
"753"," 1504000",0
"754","[ 1506000, 1508000)",1
"755"," 1508000",0
"756"," 1510000",0
"757"," 1512000",0
"758","[ 1514000, 1516000)",1
"759","[ 1516000, 1518000)",1
"760"," 1518000",0
"761"," 1520000",0
"762"," 1522000",0
"763","[ 1524000, 1526000)",2
"764"," 1526000",0
"765"," 1528000",0
"766"," 1530000",0
"767","[ 1532000, 1534000)",1
"768"," 1534000",0
"769"," 1536000",0
"770"," 1538000",0
"771"," 1540000",0
"772"," 1542000",0
"773","[ 1544000, 1546000)",1
"774"," 1546000",0
"775"," 1548000",0
"776"," 1550000",0
"777"," 1552000",0
"778","[ 1554000, 1556000)",1
"779","[ 1556000, 1558000)",1
"780","[ 1558000, 1560000)",1
"781"," 1560000",0
"782"," 1562000",0
"783"," 1564000",0
"784","[ 1566000, 1568000)",2
"785"," 1568000",0
"786"," 1570000",0
"787"," 1572000",0
"788"," 1574000",0
"789"," 1576000",0
"790"," 1578000",0
"791"," 1580000",0
"792"," 1582000",0
"793"," 1584000",0
"794"," 1586000",0
"795"," 1588000",0
"796"," 1590000",0
"797"," 1592000",0
"798","[ 1594000, 1596000)",1
"799"," 1596000",0
"800","[ 1598000, 1600000)",2
"801"," 1600000",0
"802"," 1602000",0
"803"," 1604000",0
"804","[ 1606000, 1608000)",1
"805","[ 1608000, 1610000)",1
"806"," 1610000",0
"807"," 1612000",0
"808"," 1614000",0
"809","[ 1616000, 1618000)",1
"810"," 1618000",0
"811"," 1620000",0
"812","[ 1622000, 1624000)",1
"813","[ 1624000, 1626000)",1
"814"," 1626000",0
"815"," 1628000",0
"816"," 1630000",0
"817"," 1632000",0
"818"," 1634000",0
"819"," 1636000",0
"820"," 1638000",0
"821"," 1640000",0
"822"," 1642000",0
"823"," 1644000",0
"824"," 1646000",0
"825"," 1648000",0
"826"," 1650000",0
"827"," 1652000",0
"828"," 1654000",0
"829"," 1656000",0
"830"," 1658000",0
"831"," 1660000",0
"832"," 1662000",0
"833"," 1664000",0
"834"," 1666000",0
"835"," 1668000",0
"836"," 1670000",0
"837","[ 1672000, 1674000)",1
"838"," 1674000",0
"839","[ 1676000, 1678000)",1
"840"," 1678000",0
"841"," 1680000",0
"842"," 1682000",0
"843"," 1684000",0
"844"," 1686000",0
"845"," 1688000",0
"846"," 1690000",0
"847"," 1692000",0
"848"," 1694000",0
"849"," 1696000",0
"850"," 1698000",0
"851"," 1700000",0
"852"," 1702000",0
"853"," 1704000",0
"854","[ 1706000, 1708000)",1
"855"," 1708000",0
"856"," 1710000",0
"857"," 1712000",0
"858"," 1714000",0
"859"," 1716000",0
"860"," 1718000",0
"861"," 1720000",0
"862","[ 1722000, 1724000)",1
"863"," 1724000",0
"864"," 1726000",0
"865"," 1728000",0
"866"," 1730000",0
"867"," 1732000",0
"868"," 1734000",0
"869"," 1736000",0
"870"," 1738000",0
"871"," 1740000",0
"872"," 1742000",0
"873"," 1744000",0
"874"," 1746000",0
"875"," 1748000",0
"876"," 1750000",0
"877"," 1752000",0
"878"," 1754000",0
