"Selected items"	"unit"	"1978-79"	"1979-80"	"1980-81"	"1981-82"	"1982-83"	"1983-84"	"1984-85"	"1985-86"	"1986-87"	"1987-88"	"1988-89"	"1989-90"	"1990-91"	"1991-92"	"1992-93"	"1993-94"	"1994-95"	"1995-96"	"1996-97"	"1997-98"	"1998-99"	"1999-00"	"2000-01"	"2001-02"	"2002-03"	"2003-04"	"2004-05"	"2005-06"	"2006-07"	"2007-08"	"2008-09"	"2009-10"	"2010-11"	"2011-12"	"2012-13"	"2013-14"
"Distribution from partnerships - primary production"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	244150	236720	226575	220740	213525	207890	202157	192187
"Distribution from partnerships - primary production"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-393864211	273740196	-170962277	-690942568	1454846746	775041807	74478855	913391812
"Share of net income from trusts - primary production – profit"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34370	35775	33030	34570	37260	36941	35950	37177
"Share of net income from trusts - primary production – profit"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1000975958	1173206701	1164141357	1046094234	1550983077	1583817569	1682372921	1931195898
"Share of net income from trusts - primary production – loss"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8115	7955	7365	7340	7500	8164	8264	7790
"Share of net income from trusts - primary production – loss"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-246842043	-298096917	-263375252	-258076873	-270670944	-311277263	-332922779	-273908585
"Share of net income from trusts - primary production"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42485	43730	40395	41910	44760	45105	44214	44967
"Share of net income from trusts - primary production"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	754133915	875109784	900766105	788017361	1280312133	1272540306	1349450142	1657287313
"Landcare operations and deduction for decline in value of water facility - primary production"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17935	18130	17315	14960	15215	15190	14295	14470	15745	15785	15095	14605	13790	12420	11009	8291	8400
"Landcare operations and deduction for decline in value of water facility - primary production"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56943341	60945354	59702321	50738725	58021988	55228489	55679185	51003587	53816855	55040548	55247194	54047788	50992586	43611693	35052150	29254767	35019679
"Other deductions relating to amounts shown at N and L - primary production"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	77235	73450	69875	66600	96470	77605	74735	70905	63580	59780	57340	52910	49510	47595	45544	42721	40922
"Other deductions relating to amounts shown at N and L - primary production"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	239467092	228922916	233930186	231377625	283512535	256608817	262083567	272675931	261394648	266545799	276561771	264527114	257362267	292563374	309462243	344114129	312551681
"Net primary production amount"	"no."	275670	353240	364295	365675	355120	353745	355200	359510	341030	357425	368005	394405	379540	380525	385520	384340	364300	374265	387825	373275	356500	347400	334555	325005	315135	305160	297480	289455	280945	274585	261975	257865	252975	247676	241101	231799
"Net primary production amount"	"$"	1475219000	2027416000	1701948000	1388910000	366007000	1210381000	874644000	779526000	1.502e+09	2.619e+09	3.064e+09	2.851e+09	7.36e+08	8.16e+08	1.643e+09	1.893e+09	1.995e+09	2330971138	1943755574	1738398791	4610767440	881183425	2772718122	4431447759	2453632579	1955714785	1714386220	787119196	38683357	817041015	411452350	-211265111	2398983812	1703067720	1050560101	2223107765
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Partnerships and trusts - Non-primary production"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Distribution from partnerships less foreign income - non-primary production – profit"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	603435	577710	537325	515765	501130	478703	454946	427120
"Distribution from partnerships less foreign income - non-primary production – profit"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16104200787	16460677376	15744810954	15325929841	15765876690	15643076002	14773527072	14277431594
"Distribution from partnerships less foreign income - non-primary production – loss"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	129765	128065	123835	117280	109685	104602	97986	86728
"Distribution from partnerships less foreign income - non-primary production – loss"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1358954221	-1541036761	-1560913677	-1378483355	-1273535259	-1200121991	-1115534727	-920902622
"Distribution from partnerships less foreign income - non-primary production"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	733200	705775	661160	633045	610815	583305	552932	513848
"Distribution from partnerships less foreign income - non-primary production"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14745246566	14919640615	14183897277	13947446486	14492341431	14442954011	13657992345	13356528972
"Share of net income from trusts less capital gains, foreign income and franked distributions - non-primary production – profit"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1542195	1618895	1532430	1531905	1523910	1330778	1284156	1205203
"Share of net income from trusts less capital gains, foreign income and franked distributions - non-primary production – profit"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23694765730	26701515636	27189062708	29207609151	33797157982	26138367710	25814932972	25271910879
"Share of net income from trusts less capital gains, foreign income and franked distributions - non-primary production – loss"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11345	11100	6775	7460	7355	44164	40216	42920
"Share of net income from trusts less capital gains, foreign income and franked distributions - non-primary production – loss"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-440949261	-413680609	-205420183	-187564004	-211824441	-966809562	-768113134	-801691663
"Share of net income from trusts less capital gains, foreign income and franked distributions - non-primary production"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1553540	1629995	1539200	1539365	1531265	1374942	1324372	1248123
"Share of net income from trusts less capital gains, foreign income and franked distributions - non-primary production"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23253816469	26287835027	26983642525	29020045147	33585333541	25171558148	25046819838	24470219216
"Franked distributions from trusts - non-primary production"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	423751	505937	626485
"Franked distributions from trusts - non-primary production"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11159702033	12776752814	14515878855
"Landcare operations expenses - non-primary production"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2935	1815	1875	1690	1460	1420	1320	1355	3170	3275	2950	2605	2320	2410	2083	709	704
"Landcare operations expenses - non-primary production"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9851521	4548526	5006888	5307309	4386783	4764681	4733158	5094550	8955736	10917861	10162863	8098110	7100781	7820604	6780054	2852477	3285260
"Other deductions relating to amounts shown at O, U and C - non-primary production"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	226120	255455	288840	324700	360660	357145	369300	378765	387830	414845	423940	401575	394935	379825	354808	320767	295471
"Other deductions relating to amounts shown at O, U and C - non-primary production"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	836037627	924521992	1054305448	1187666364	1260108950	1334648986	1489509834	1695228767	1966351859	2394288128	2768690196	2380204715	2262681199	2341147898	2182676529	1881577150	1635569420
"Net non-primary production amount"	"no."	884390	1047915	1128755	1168685	1217535	1262350	1221970	1316610	1319095	1391280	1480055	1470830	1468075	1502580	1545585	1622830	1650430	1757290	1812960	1888830	1954510	2048720	2163450	2121835	2097645	2099045	2121315	2137630	2172790	2219895	2096695	2073405	2047365	1920349	1860825	1748849
"Net non-primary production amount"	"$"	3935344000	4999382000	5820810000	6289912000	6533663000	7567017000	7742128000	9468457000	1.0548e+10	1.2163e+10	1.4644e+10	1.3931e+10	1.317e+10	1.3044e+10	1.3818e+10	1.4883e+10	1.6539e+10	16845186923	17550393336	18982494823	22260899184	22780264396	22179582953	22353754558	24508973536	26696341181	28713105143	30789919313	35593857442	38428642248	38779356940	40697845756	45728760217	48584757609	49597135370	50703772363
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Total distribution from partnerships"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	826300	800070	755825	732320	824340	680679	650578	607479
"Total distribution from partnerships"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14351382355	15193380811	14012935000	13256503918	15947188177	15217995818	13732471200	14269920784
"Total share of net income from trusts"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1566585	1643225	1550855	1552420	1576025	1437180	1400846	1319454
"Total share of net income from trusts"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24007950384	27162944811	27884408630	29808062508	34865645674	37603800487	39173022794	40643385384
"Total distribution from partnerships and trusts"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2252760	2298865	2175060	2157485	2400365	2001881	1944162	1830218
"Total distribution from partnerships and trusts"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38359332739	42356325622	41897343630	43064566426	50812833851	52821796305	52905493994	54913306168
"Total landcare operations expenses from partnerships and trusts"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19035	18030	17200	16100	14830	13083	8987	9083
"Total landcare operations expenses from partnerships and trusts"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65958409	65410057	62145898	58093367	51432297	41832204	32107244	38304939
"Total other deductions relating to amounts shown from partnerships and trusts"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	470705	477470	451075	441150	427420	397485	360862	333964
"Total other deductions relating to amounts shown from partnerships and trusts"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2660833927	3045251967	2644731829	2520043466	2633711272	2492138772	2225691279	1948121101
"Total net amounts from partnerships and trusts"	"no."	NA	NA	1299935	1328695	1373650	1406120	1373330	1462100	1447175	1517215	1605625	1616550	1604040	1634920	1680705	1749250	1764525	1870190	1937840	2003105	2063850	2157115	2258780	2213845	2189640	2189830	2211340	2226040	2259980	2307130	2184055	2165970	2300340	2010756	1952048	1836942
"Total net amounts from partnerships and trusts"	"$"	5410563000	7026798000	7522759000	7678822000	7009581000	8777398000	8616771000	1.0248e+10	1.205e+10	1.4782e+10	1.7708e+10	1.6782e+10	1.3906e+10	1.386e+10	1.546e+10	1.6774e+10	1.8534e+10	19176158061	19494148910	20720893614	26871666624	23661447821	24952301075	26785202317	26962606115	28652055966	30427491363	31577038509	35632540799	39245683263	39190809290	40486580645	48127744029	50287825329	50647695471	52926880128
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Partnerships and trusts - Share of credits from income and tax offsets"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Share of credit for tax withheld where Australian business number not quoted"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6145	4875	4495	4395	4260	4005	3760	3875	3075	3020	2315	3283	1403	1347
"Share of credit for tax withheld where Australian business number not quoted"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8015112	3795865	6110949	3128792	3060182	3888609	3784897	3920830	3957932	4529857	3031090	3959223	1876143	1862548
"Share of franking credit from franked dividends"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	798660	932515	1000255	986710	951840	960700	971825	987575	968295	891310	873420	854680	780077	722825	695520
"Share of franking credit from franked dividends"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1253695714	1464902932	1053483429	1291821929	1543697692	1867052993	2155893936	2880206541	3238853800	3402063623	3455128280	3975496977	4169644336	4430125092	4822362090
"Share of credit for tax file number amounts withheld from interest, dividends and unit trust distributions"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	77730	76485	66330	65645	70525	71660	71445	73910	83680	67620	66005	62700	54257	59100	56960
"Share of credit for tax file number amounts withheld from interest, dividends and unit trust distributions"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24807805	24214993	20208653	22584354	28034599	37539119	45978750	57268771	47605495	31636717	24989465	28202872	24230545	21044578	20589515
"Credit for TFN amounts withheld from payments from closely held trusts"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	950	815	982	968
"Credit for TFN amounts withheld from payments from closely held trusts"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1378114	1757460	1135029	1002665
"Share of credit for tax paid by trustee"	"no."	NA	NA	NA	NA	NA	NA	NA	11065	9725	3740	3150	NA	975	930	840	3790	3025	3225	5575	4450	4810	4265	4840	3045	2630	3200	3450	2865	2980	3195	3075	7940	6000	10806	3779	3051
"Share of credit for tax paid by trustee"	"$"	NA	NA	NA	NA	NA	NA	NA	1.02e+08	8.8e+07	3e+07	2.2e+07	NA	6e+06	5e+06	4e+06	7e+06	7e+06	5540256	10702979	9019566	9887825	9188255	8685869	8408614	7222044	9808534	16634047	13300888	18316088	16315748	20671601	27527214	28303994	34372549	20121601	20589438
"Share of credit for amounts withheld from foreign resident withholding"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3945	3995	3995	4690	4575	3475	3100	3591	3895	3360
"Share of credit for amounts withheld from foreign resident withholding"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1428519	1974016	2322064	24294583	2437341	2494432	3525969	3736136	4826464	2967730
"Share of National rental affordability scheme tax offset"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	190	315	1060	2841	6486	10069
"Share of National rental affordability scheme tax offset"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	148059	906821	3304113	10061390	28248732	58946364
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Personal services income (PSI)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Personal services income - Tax withheld - voluntary agreement"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6900	7315	7670	7860	7925	6750	6265	5990	5195	4880	4775	4582	3763	3566
"Personal services income - Tax withheld - voluntary agreement"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28309029	31992830	39205549	42522201	46478242	45143853	44233211	41640813	38371052	36085722	36668066	37967566	30134145	27531759
"Personal services income - Tax withheld where Australian business number not quoted"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1800	1470	1350	1275	1175	1055	915	855	845	845	895	937	914	861
"Personal services income - Tax withheld where Australian business number not quoted"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2779429	3030833	3188445	2498111	2106539	2383752	1712224	1980181	1703419	1957976	2283417	2965451	2527332	4319163
"Personal services income - Tax withheld - labour hire or other specified payments"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9190	17660	19665	22685	25175	27840	27755	32600	30785	39850	49580	54192	51367	48622
"Personal services income - Tax withheld - labour hire or other specified payments"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30592384	59363154	71705908	85649494	104047473	121944593	121293118	144055236	158064851	210966630	286330230	365282212	372659160	333562397
"Personal services income - Net PSI - transferred from item P1"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97010	107375	105345	118470	131545	138197	131582	126052
"Personal services income - Net PSI - transferred from item P1"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1643921508	1917758337	2034125873	2343389549	2754957379	3105879105	3076719532	2883641539
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Net income or loss from business"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Net income or loss from business - primary production - transferred from item P8"	"no."	85290	113870	115110	113475	111945	109430	108010	113205	110695	117360	119985	123640	118790	120820	122340	124185	119280	122815	123845	125890	125525	124095	116620	115810	117515	121910	128745	134565	136180	130795	118520	114030	107220	103226	102710	94686
"Net income or loss from business - primary production - transferred from item P8"	"$"	280103000	322659000	175012000	87331000	-104784000	71145000	-57029000	-111516000	6121000	1.36e+08	1.21e+08	1.4e+07	-3.45e+08	-3.84e+08	-2.49e+08	-1.48e+08	-2.91e+08	-373322978	-576465647	-692599591	-708163569	-729597416	-302259062	-146136835	-672755368	-837704283	-1172118477	-1498630806	-1802602773	-1565582638	-1346851845	-1012695512	-617808778	-806645681	-932717078	-754754149
"Net income or loss from business - non-primary production transferred from item P8"	"no."	209180	287835	303930	317605	324765	374560	396920	422695	437395	495100	549390	577540	584200	632020	686290	725120	747820	796115	789045	815455	844660	898215	790130	821855	862790	903140	933550	965445	1005240	1047165	1041140	1086455	1109445	1118112	1108145	1078383
"Net income or loss from business - non-primary production transferred from item P8"	"$"	1163344000	1689002000	1907287000	1881573000	1965133000	2363407000	2678204000	3136435000	3.555e+09	4.118e+09	4.876e+09	5.336e+09	5.169e+09	5.59e+09	6.363e+09	7.119e+09	7.856e+09	8411958990	8698548270	9776062798	10960893919	12792307295	11185239938	12727828351	14029264793	15639962329	16699570540	18200223287	20553158257	21989025585	21920294717	24343088463	26991804285	27847042215	27941957018	28328511596
"Net income or loss from business - Tax withheld - voluntary agreement"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23915	17510	13890	11975	11035	9865	8840	8170	6975	6220	5450	4617	3632	3049
"Net income or loss from business - Tax withheld - voluntary agreement"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	123471579	99572863	84243496	77444435	77970737	76090147	70870239	67080893	61145673	53127397	49524259	45824496	35399886	29766023
"Net income or loss from business - Tax withheld where Australian business number not quoted"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3185	2020	1780	1710	1580	1350	1070	1035	995	950	835	917	925	1103
"Net income or loss from business - Tax withheld where Australian business number not quoted"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4850210	4450413	3979568	3592166	3375667	2894562	2531603	2272732	2843188	2697148	2551247	3737731	2859478	3341910
"Net income or loss from business - Tax withheld - foreign resident withholding"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	165	175	315	435	540	585	695	737	902	871
"Net income or loss from business - Tax withheld - foreign resident withholding"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4699354	4033683	4389481	14532859	12046267	9002147	8907208	10624222	14521504	15207918
"Net income or loss from business - Tax withheld - labour hire or other specified payments"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5485	4615	4590	4955	4825	4890	4760	5640	5245	6485	7225	6648	5342	4467
"Net income or loss from business - Tax withheld - labour hire or other specified payments"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24487482	21963471	22499064	24562476	26215233	28761691	27055625	31216986	30262186	35804571	44601585	49548551	40989679	31866350
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Deferred non-commercial business losses"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Deferred non-commercial business losses - your share of deferred losses from partnership activities"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38980	41880	43980	43690	44165	44395	44490	41890	41360	42530	40940	40330	39680	36267
"Deferred non-commercial business losses - your share of deferred losses from partnership activities"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	156219215	177507221	217312363	231100390	267691122	295298637	330418453	335051267	361716024	482397033	513746952	542439858	555729515	483590828
"Deferred non-commercial business losses - deferred losses from sole trader activities"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	63985	78145	89990	98910	106020	113355	117715	117525	126260	135235	135675	137245	138823	134514
