"Selected items"	"unit"	"1978-79"	"1979-80"	"1980-81"	"1981-82"	"1982-83"	"1983-84"	"1984-85"	"1985-86"	"1986-87"	"1987-88"	"1988-89"	"1989-90"	"1990-91"	"1991-92"	"1992-93"	"1993-94"	"1994-95"	"1995-96"	"1996-97"	"1997-98"	"1998-99"	"1999-00"	"2000-01"	"2001-02"	"2002-03"	"2003-04"	"2004-05"	"2005-06"	"2006-07"	"2007-08"	"2008-09"	"2009-10"	"2010-11"	"2011-12"	"2012-13"	"2013-14"
"Net income or loss from business this year – non-primary production2"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28415620696	22319773783	22413967954	24780308152	27598478721	28535094022	28744638292	29437170831
"Total net income or loss from business this year2"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1110915	1147915	1129900	1168085	1186345	1190866	1184980	1149661
"Total net income or loss from business this year2"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26747092172	21182027279	21227123690	23940724031	27212259637	28041774259	28169061195	29073178495
"Deferred non-commercial business losses from a prior year – primary production"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6245	6640	6635	7110	7850	8191	8329	7972
"Deferred non-commercial business losses from a prior year – primary production"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	127136072	145503426	143569925	168621977	244929525	307574236	362798314	396548731
"Deferred non-commercial business losses from a prior year – non-primary production"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47590	48675	48655	55985	59300	61100	61707	64059
"Deferred non-commercial business losses from a prior year – non-primary production"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	447798733	488182311	534766499	662955868	772637313	869433896	960061386	963708742
"Total deferred non-commercial business losses from a prior year2"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	53575	55025	55010	62790	66565	68691	69576	71546
"Total deferred non-commercial business losses from a prior year2"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	574934805	633685737	678336424	831577845	1014600599	1170364108	1303801594	1340231467
"Net income or loss from business – primary production"	"no."	85290	113870	115110	113475	111945	109430	108010	113205	110695	117360	119985	123640	118790	120820	122340	124185	119280	122815	123845	125890	125525	124095	116620	115810	117515	121910	128745	134565	136180	130795	118520	113715	107220	103226	102710	94686
"Net income or loss from business – primary production"	"$"	280103000	322659000	175012000	87331000	-104784000	71145000	-57029000	-111516000	6121000	1.36e+08	1.21e+08	1.4e+07	-3.45e+08	-3.84e+08	-2.49e+08	-1.48e+08	-2.91e+08	-373322978	-576465647	-692599591	-708163569	-729597416	-302259062	-146136835	-672755368	-837704283	-1172118477	-1498630806	-1802602773	-1565582638	-1346851845	-1010094119	-617808778	-806645681	-932717078	-754754149
"Net income or loss from business – non-primary production"	"no."	209180	287835	303930	317605	324765	374560	396920	422695	437395	495100	549390	577540	584200	632020	686290	725120	747820	796115	789045	815455	844660	898215	790130	821855	862790	903140	933550	965445	1005240	1047165	1041140	1084140	1109445	1118112	1108145	1078383
"Net income or loss from business – non-primary production"	"$"	1163344000	1689002000	1907287000	1881573000	1965133000	2363407000	2678204000	3136435000	3.555e+09	4.118e+09	4.876e+09	5.336e+09	5.169e+09	5.59e+09	6.363e+09	7.119e+09	7.856e+09	8411958990	8698548270	9776062798	10960893919	12792307295	11185239938	12727828351	14029264793	15639962329	16699570540	18200223287	20553158257	21989025585	21920294717	24282539432	26991804285	27847042215	27941957018	28328511596
"Total Net income or loss from business2"	"no."	NA	NA	400630	413640	420525	467665	488910	519165	532600	595870	651515	680240	684910	734930	789985	830055	848045	898450	606545	918990	948200	1000470	888575	919505	961800	1005810	1042110	1079120	1120535	1157515	1140225	1181695	1216665	1204199	1194741	1158355
"Total Net income or loss from business2"	"$"	1443447000	2011661000	1997598000	1968903000	1860350000	2434552000	2621176000	3024919000	3.561e+09	4.254e+09	4.996e+09	5.35e+09	4.825e+09	5.205e+09	6.115e+09	6.972e+09	7.566e+09	8038636011	8122082623	9083463206	10252730350	12062709879	10882980876	12581691516	13356509425	14802258046	15527452063	16701592481	18750555484	20423442947	20573442872	23330392951	26373995507	27040396534	27009239940	27573757447
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Small business entity depreciating assets"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Deduction for low-cost assets (less than $1,000)"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34760	41325	46570	52965	67690	74965	75780	79180	79170	77270	76871	NA	NA
"Deduction for low-cost assets (less than $1,000)"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51854210	61143321	69058186	77726846	94660478	105544433	109021695	107891748	106977736	104651488	104686212	NA	NA
"Deduction for general pool assets (less than 25 years)"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60840	74825	86210	100245	146710	170690	175190	185470	182815	181030	177330	NA	NA
"Deduction for general pool assets (less than 25 years)"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	333706920	365005316	393020428	464144956	628348345	733119579	862561106	964893697	906785005	875237151	915710499	NA	NA
"Deduction for long-life pool assets (25 years or more)"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4400	5180	5940	6825	8820	10280	11600	12970	12715	12810	12778	NA	NA
"Deduction for long-life pool assets (25 years or more)"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11904121	8830915	4983059	6016092	8261229	9586074	11943043	14538325	13941087	14338928	15459097	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Small business entity simplified depreciation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Deduction for certain assets"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97047	75457
"Deduction for certain assets"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	287320576	159993280
"Deduction for general small business pool"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	159738	131834
"Deduction for general small business pool"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	984908104	797231902
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
